"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"12:00hrs Kerja penyelenggaraan Km 223.2 - Km 224.8 arah Selatan dari Changkat Jering ke Kuala Kangsar. Lorong kiri… https://t.co/ZlKyWLxp86",FALSE,1,NA,2019-10-31 04:00:54,TRUE,NA,"1189754091125100545",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"11:46hrs Status terkini tiada penutupan lorong. Trafik perlahan. @LLMinfotrafik https://t.co/hdFJan17hJ",FALSE,1,NA,2019-10-31 03:46:42,FALSE,NA,"1189750518375075841",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"11:29hrs Trafik masih perlahan dari Gopeng menuju ke Simpang Pulai. Pandu berhati-hati. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-10-31 03:30:11,FALSE,NA,"1189746362524418048",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"11:16hrs Kemalangan Km 204.4 arah Selatan dari Bukit Merah ke Taiping (U). Tiada lorong terhalang. Trafik perlahan.… https://t.co/Msk7XjEmsQ",FALSE,0,NA,2019-10-31 03:16:33,TRUE,NA,"1189742929083920384",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"11:07hrs Kemalangan Km 156 arah Utara dari Jawi ke Bandar Cassia. Tiada lorong terhalang. Trafik terkawal. Pandu be… https://t.co/tuTEKO9JFy",FALSE,0,NA,2019-10-31 03:12:39,TRUE,NA,"1189741947344150530",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"09:41hrs Trafik perlahan dari Gopeng menuju Hentian Rehat Simpang Pulai arah ke utara. Pandu cermat.@LLMinfotrafik",FALSE,0,NA,2019-10-31 01:41:21,FALSE,NA,"1189718970640650240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"9:18hrs Trafik perlahan di Jambatan P. Pinang dari arah Perai ke Pulau. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-10-31 01:18:44,FALSE,NA,"1189713280601735168",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"8:50hrs Status terkini, semua lorong di arah utara telah dibuka &amp; laluan kontra telah ditutup.Trafik masih perlahan… https://t.co/zfpBm4Sx8p",FALSE,1,NA,2019-10-31 00:52:14,TRUE,NA,"1189706609620135936",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"08:48hrs Kemalangan kereta Km 36 arah Selatan dari Bandar Serenia ke Nilai(U).Tiada lorong terhalang. Trafik terkaw… https://t.co/UI4dLCe9DQ",FALSE,2,NA,2019-10-31 00:48:30,TRUE,NA,"1189705673912672256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"8:38hrs Kemalangan motorsikal &amp; lori di susur Jambatan P. Pinang Km 0.6 dari arah Seberang Jaya ke Pulau. Tiada lor… https://t.co/sOeLcrfy9R",FALSE,1,NA,2019-10-31 00:39:17,TRUE,NA,"1189703352621453315",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"8:23hrs Trafik perlahan dari Permatang Pauh menuju ke Perai. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-10-31 00:24:03,FALSE,NA,"1189699518012514312",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"8:22hrs Status terkini, insiden selesai.Trafik perlahan. Pandu berhati - hati @LLMinfotrafik https://t.co/sZZG7eoLnO",FALSE,1,NA,2019-10-31 00:23:07,FALSE,NA,"1189699282686730240",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"8:17hrs Kerja penyelenggaraan Km 76.5 - Km 75.0 arah Utara dari Gurun ke Pendang. Lorong kiri ditutup. Trafik terka… https://t.co/0ScRncU517",FALSE,3,NA,2019-10-31 00:17:57,TRUE,NA,"1189697985547882496",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
